food_code,food_name,primarysource,energy_kj,energy_kcal,carb_g,protein_g,fat_g,freesugar_g,fibre_g,servings_unit,unit_serving_energy_kcal
ASC001,Hot tea (Garam Chai),asc_manual,68.1615219116211,16.144298553466797,2.5819475650787354,0.3878859877586365,0.5320665240287781,2.576009511947632,0.0,tea cup,33.98374938964844
ASC002,Instant coffee,asc_manual,97.76667022705078,23.155832290649414,3.6533334255218506,0.640666663646698,0.746666669845581,3.615000009536743,0.0,tea cup,104.20124816894531
ASC003,Espreso coffee,asc_manual,216.99684143066406,51.543373107910156,6.620504856109619,1.7470030784606934,2.1381702423095703,6.533753871917725,0.0,tea cup,81.69625091552734
ASC004,Iced tea,asc_manual,44.09062194824219,10.342187881469727,2.7015624046325684,0.027968749403953552,0.010937499813735485,2.7015624046325684,0.0,tall glass,33.095001220703125
ASC005,Raw mango drink (Aam panna),asc_manual,152.39479064941406,35.91822052001953,9.047467231750488,0.15703445672988892,0.026340782642364502,7.490847110748291,0.6120251417160034,tall glass,96.44041442871094
ASC006,Fruit Punch (with fresh juices),asc_manual,153.8872833251953,36.116844177246094,9.38059139251709,0.13934893906116486,0.03250204399228096,9.245637893676758,0.06005493178963661,tall glass,196.59661865234375
ASC007,Fruit Punch (with squashes),asc_manual,98.22452545166016,23.12828254699707,5.989855766296387,0.0723448097705841,0.016838526353240013,5.883439064025879,0.16822615265846252,tall glass,116.2970962524414
ASC008,Lemonade,asc_manual,88.66141510009766,20.798982620239258,5.478568077087402,0.034817468374967575,0.010450966656208038,5.471953868865967,0.016864709556102753,glass,72.64044952392578
ASC009,Lem-o-gin,asc_manual,91.63279724121094,21.517364501953125,5.551969051361084,0.08075683563947678,0.028100909665226936,5.384456634521484,0.12919411063194275,glass,76.76319885253906
ASC010,Cumin infused water (Jeere/Zeere ka pani),asc_manual,38.22722244262695,9.08980655670166,1.8643821477890015,0.16951678693294525,0.1104905903339386,1.46160089969635,0.46353375911712646,glass,30.803081512451172
ASC011,Coco pine cooler,asc_manual,138.47293090820312,32.74876022338867,5.717686176300049,0.5550532341003418,0.9999814629554749,5.52344274520874,0.25724664330482483,tall glass,141.54014587402344
ASC012,Summer cooler,asc_manual,95.21651458740234,22.428831100463867,5.431630611419678,0.37390369176864624,0.03540007397532463,5.212235927581787,0.19671612977981567,tall glass,110.94645690917969
ASC014,Hot cocoa,asc_manual,378.235595703125,90.0999984741211,9.234031677246094,3.3628273010253906,4.562827110290527,9.006282806396484,0.0,cup,172.09100341796875
ASC015,Cold coffee with ice cream,asc_manual,286.6069641113281,67.8487548828125,11.244776725769043,1.5701491832733154,2.109452724456787,11.180099487304688,0.007960199378430843,tall glass,204.56399536132812
ASC016,Banana milkshake (Kele milkshake),asc_manual,274.3270568847656,65.30644989013672,9.145586013793945,1.8432996273040771,2.371230125427246,7.956006050109863,0.2558610737323761,tall glass,225.6337890625
ASC017,Mango milkshake (Aam milkshake),asc_manual,239.12799072265625,56.901123046875,7.231504917144775,1.7267510890960693,2.345879077911377,7.148523330688477,0.26441630721092224,tall glass,202.2834930419922
ASC018,Pineapple milkshake (Ananas milkshake),asc_manual,235.0617218017578,55.71769332885742,7.624691486358643,1.65925931930542,2.228806734085083,7.600000381469727,0.0,tall glass,203.09100341796875
ASC019,Orange milkshake (Narangi milkshake),asc_manual,241.50234985351562,57.41502380371094,7.10704231262207,1.8647887706756592,2.5239436626434326,7.078873157501221,0.0,tall glass,183.4409942626953
ASC020,Egg nog,asc_manual,407.6770935058594,97.14144897460938,8.145041465759277,4.776309490203857,5.11044454574585,8.061746597290039,0.019752884283661842,tall glass,294.8243103027344
ASC021,Sweet Lassi (Meethi lassi),asc_manual,151.1864471435547,35.66101837158203,6.508474826812744,1.2881355285644531,0.6779661178588867,6.508474826812744,0.0,tall glass,157.8000030517578
ASC022,Lassi (salted),asc_manual,79.42941284179688,18.844942092895508,1.856243371963501,1.3549379110336304,0.7186296582221985,1.8436976671218872,0.017926756292581558,tall glass,79.76121520996094
ASC023,Cheese and chilli sandwich ,asc_manual,916.6547241210938,218.1146697998047,27.40143394470215,6.795605182647705,9.780448913574219,2.3799102306365967,2.078744411468506,triangle,121.59893035888672
ASC024,Egg sandwich (Ande ka sandwich),asc_manual,1198.246337890625,285.95709228515625,29.15723991394043,8.694679260253906,15.797734260559082,1.863645315170288,1.8776354789733887,triangle,145.12322998046875
ASC025,Cucumber sandwich (Kheere ka sandwich),asc_manual,792.8148193359375,188.597900390625,25.76510238647461,4.798436164855957,7.997695446014404,1.6432921886444092,2.449218273162842,triangle,114.57322692871094
